Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,68.0,1.0,68.0,68.0,0.0,52.903999999999954,0.0,0.0,0.019661903381347656,,,,,,,,,,,,,,,,,,,,,20.68834309905847,17.0272385626975,51.548741410674694,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,126.0,2.0,58.0,126.0,0.0,42.20399999999995,0.0,0.0,4.3324668407440186,,,,,,,,,,,,,,,,,,,,,15.621099944790572,13.77662401199156,41.33931551872088,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,155.0,3.0,29.0,155.0,0.0,12.455000000000007,0.0,0.0,6.840080261230469,,,,,,,,,,,,,,,,,,,,,3.153461312342289,3.8911439910851464,12.375925547489567,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,188.0,4.0,33.0,188.0,0.0,11.357000000000008,0.0,0.0,9.526185512542725,,,,,,,,,,,,,,,,,,,,,2.3905513285309303,3.354084761841488,11.289401207365849,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,212.0,5.0,24.0,212.0,0.0,9.154000000000003,0.0,0.0,11.439070463180542,,,,,,,,,,,,,,,,,,,,,2.1976222324445156,2.8023354734116843,9.11036743385519,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,270.0,6.0,58.0,270.0,0.0,35.453999999999965,0.0,0.0,15.660815715789795,,,,,,,,,,,,,,,,,,,,,12.51854062175192,10.764247420722597,34.762687331269674,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,305.0,7.0,35.0,305.0,0.0,24.70300000000001,0.0,0.0,18.433419704437256,,,,,,,,,,,,,,,,,,,,,9.103216707295342,8.17780634281794,24.408796211456124,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,332.0,8.0,27.0,332.0,0.0,10.254000000000008,0.0,0.0,20.87364387512207,,,,,,,,,,,,,,,,,,,,,2.4102950217531958,3.115836275308634,10.199121155568236,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,360.0,9.0,28.0,360.0,0.0,8.756000000000004,0.0,0.0,23.116366863250732,,,,,,,,,,,,,,,,,,,,,1.739964121317938,2.546830542811573,8.715997001604705,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,385.0,10.0,25.0,385.0,0.0,11.304000000000006,0.0,0.0,25.121702909469604,,,,,,,,,,,,,,,,,,,,,2.9044116983961743,3.6526373205105416,11.24263233987998,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,410.0,11.0,25.0,410.0,0.0,11.554000000000006,0.0,0.0,27.224887371063232,,,,,,,,,,,,,,,,,,,,,3.0435053284061637,3.736210019920706,11.489401768558409,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,434.0,12.0,24.0,434.0,0.0,10.554000000000006,0.0,0.0,29.487680912017822,,,,,,,,,,,,,,,,,,,,,2.6915929767331535,3.3830228769787634,10.499901670228637,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,476.0,13.0,42.0,476.0,0.0,19.95600000000002,0.0,0.0,32.69933032989502,,,,,,,,,,,,,,,,,,,,,5.244807703349791,6.307595912025263,19.75547355000932,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,542.0,14.0,66.0,542.0,0.0,27.456000000000035,0.0,0.0,37.55976223945618,,,,,,,,,,,,,,,,,,,,,9.019494438744255,7.205836103147905,26.887600968010904,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,578.0,15.0,36.0,578.0,0.0,12.306000000000012,0.0,0.0,40.43615436553955,,,,,,,,,,,,,,,,,,,,,2.6985954730623667,3.5628621475083193,12.221071634604364,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,606.0,16.0,28.0,606.0,0.0,12.155000000000006,0.0,0.0,42.608721017837524,,,,,,,,,,,,,,,,,,,,,3.072965584414753,3.8318267515555626,12.08103800163803,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,650.0,17.0,44.0,650.0,0.0,26.755000000000017,0.0,0.0,45.92263841629028,,,,,,,,,,,,,,,,,,,,,8.585483470695033,8.767814911606425,26.403642369659085,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,697.0,18.0,47.0,697.0,0.0,32.60399999999997,0.0,0.0,49.43288707733154,,,,,,,,,,,,,,,,,,,,,11.623514977961298,10.773033552314429,32.08978458061644,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,727.0,19.0,30.0,727.0,0.0,11.706000000000007,0.0,0.0,51.72304368019104,,,,,,,,,,,,,,,,,,,,,2.6523258242843295,3.618166313778359,11.638068293565038,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,825.0,20.0,98.0,825.0,0.0,48.3049999999999,0.0,0.0,58.74784016609192,,,,,,,,,,,,,,,,,,,,,15.23155475501873,14.161962889849335,46.85916680080897,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,31.0,1.0,31.0,856.0,0.0,12.305000000000009,0.0,0.0,110.33665251731873,,,,,,,,,,,,,,,,,,,,,2.8955784161687177,3.773687554870691,12.227464533632405,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,73.0,2.0,42.0,898.0,0.0,29.005000000000013,0.0,0.0,113.81149339675903,,,,,,,,,,,,,,,,,,,,,10.381299968231971,9.58204159936518,28.59758298431858,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,110.0,3.0,37.0,935.0,0.0,17.855000000000018,0.0,0.0,116.59954524040222,,,,,,,,,,,,,,,,,,,,,4.82181631556661,5.666173918068762,17.694287083407445,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,137.0,4.0,27.0,962.0,0.0,10.205000000000007,0.0,0.0,118.74124884605408,,,,,,,,,,,,,,,,,,,,,2.3690102311328665,3.1105854198732192,10.151187911671087,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,155.0,5.0,18.0,980.0,0.0,7.452999999999999,0.0,0.0,120.33375430107117,,,,,,,,,,,,,,,,,,,,,1.9115022611488461,2.386572097989575,7.426018978277599,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,190.0,6.0,35.0,1015.0,0.0,16.105000000000018,0.0,0.0,123.1001546382904,,,,,,,,,,,,,,,,,,,,,4.269844333968089,5.039977615980747,15.971526975286407,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,232.0,7.0,42.0,1057.0,0.0,24.104000000000017,0.0,0.0,126.30253672599792,,,,,,,,,,,,,,,,,,,,,7.440884494606334,7.818309676969787,23.815298149375913,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
