Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,27.0,1.0,27.0,27.0,0.0,9.004500000000002,0.0,0.0,0.017082929611206055,,,,,,,,,,,,,,,,,,,,,2.2440677262465396,2.7217124706037077,8.952863034425771,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,53.0,2.0,26.0,53.0,0.0,12.603499999999999,0.0,0.0,3.1279189586639404,,,,,,,,,,,,,,,,,,,,,4.459381427181902,4.283431137603155,12.500056139032308,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,84.0,3.0,31.0,84.0,0.0,19.402500000000003,0.0,0.0,6.658071756362915,,,,,,,,,,,,,,,,,,,,,7.750359303085927,6.344861761005572,19.18142028188623,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,112.0,4.0,28.0,112.0,0.0,14.1035,0.0,0.0,9.876377820968628,,,,,,,,,,,,,,,,,,,,,4.666980148984341,4.578784034173672,13.986811367195632,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,122.0,5.0,10.0,122.0,0.0,2.7529999999999997,0.0,0.0,11.215856075286865,,,,,,,,,,,,,,,,,,,,,0.8016549754346931,0.9959222473238576,2.7477311814270804,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,135.0,6.0,13.0,135.0,0.0,4.251999999999999,0.0,0.0,12.92499303817749,,,,,,,,,,,,,,,,,,,,,1.2836363758791491,1.385058828021734,4.2395522793929645,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,147.0,7.0,12.0,147.0,0.0,3.9530000000000003,0.0,0.0,14.590388774871826,,,,,,,,,,,,,,,,,,,,,1.0632486230011209,1.298524615409171,3.9441852017257126,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,160.0,8.0,13.0,160.0,0.0,3.7525,0.0,0.0,16.27092409133911,,,,,,,,,,,,,,,,,,,,,0.9200051871381947,1.267727987270141,3.744284216783988,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,178.0,9.0,18.0,178.0,0.0,8.502500000000001,0.0,0.0,18.414551258087158,,,,,,,,,,,,,,,,,,,,,2.815117440696123,2.946351043787386,8.460288174241713,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,216.0,10.0,38.0,216.0,0.0,21.703000000000007,0.0,0.0,22.582308053970337,,,,,,,,,,,,,,,,,,,,,9.278437581878203,6.864759270167831,21.37179116305168,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,233.0,11.0,17.0,233.0,0.0,6.652499999999999,0.0,0.0,24.53986692428589,,,,,,,,,,,,,,,,,,,,,2.1718656443171427,2.241600774599516,6.62220048453114,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,255.0,12.0,22.0,255.0,0.0,6.206499999999999,0.0,0.0,27.221494436264038,,,,,,,,,,,,,,,,,,,,,1.2678301192534818,1.8411155961848584,6.184792529906329,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,269.0,13.0,14.0,269.0,0.0,4.7035,0.0,0.0,29.076935052871704,,,,,,,,,,,,,,,,,,,,,1.0870193691146102,1.4963074273085373,4.692974703535933,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,288.0,14.0,19.0,288.0,0.0,10.253999999999998,0.0,0.0,31.33149790763855,,,,,,,,,,,,,,,,,,,,,3.2579458253193545,3.424175827656923,10.202301330649583,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,299.0,15.0,11.0,299.0,0.0,3.3529999999999998,0.0,0.0,32.840837240219116,,,,,,,,,,,,,,,,,,,,,0.8106215288122325,1.0835920044488925,3.3474305937768425,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,312.0,16.0,13.0,312.0,0.0,3.8535,0.0,0.0,34.53107500076294,,,,,,,,,,,,,,,,,,,,,0.8325853430549798,1.1972588937457271,3.846522913453739,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,342.0,17.0,30.0,342.0,0.0,12.702000000000002,0.0,0.0,37.811867237091064,,,,,,,,,,,,,,,,,,,,,4.5490685324236155,3.933152350501322,12.578106050077372,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,367.0,18.0,25.0,367.0,0.0,13.302999999999999,0.0,0.0,40.6452100276947,,,,,,,,,,,,,,,,,,,,,4.954758018575318,4.444465801048143,13.19232337290853,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
